"Unidade da Federação,""Ano"",""Variável"",""Total"",""Abacate"",""Abacaxi*"",""Açaí"",""Alfafa fenada"",""Algodão arbóreo (em caroço)"",""Algodão herbáceo (em caroço)"",""Alho"",""Amendoim (em casca)"",""Arroz (em casca)"",""Aveia (em grão)"",""Azeitona"",""Banana (cacho)"",""Batata-doce"",""Batata-inglesa"",""Borracha (látex coagulado)"",""Borracha (látex líquido)"",""Cacau (em amêndoa)"",""Café (em grão) Total"",""Café (em grão) Arábica"",""Café (em grão) Canephora"",""Caju"",""Cana-de-açúcar"",""Cana para forragem"",""Caqui"",""Castanha de caju"",""Cebola"",""Centeio (em grão)"",""Cevada (em grão)"",""Chá-da-índia (folha verde)"",""Coco-da-baía*"",""Dendê (cacho de coco)"",""Erva-mate (folha verde)"",""Ervilha (em grão)"",""Fava (em grão)"",""Feijão (em grão)"",""Figo"",""Fumo (em folha)"",""Girassol (em grão)"",""Goiaba"",""Guaraná (semente)"",""Juta (fibra)"",""Laranja"",""Limão"",""Linho (semente)"",""Maçã"",""Malva (fibra)"",""Mamão"",""Mamona (baga)"",""Mandioca"",""Manga"",""Maracujá"",""Marmelo"",""Melancia"",""Melão"",""Milho (em grão)"",""Noz (fruto seco)"",""Palmito"",""Pera"",""Pêssego"",""Pimenta-do-reino"",""Rami (fibra)"",""Sisal ou agave (fibra)"",""Soja (em grão)"",""Sorgo (em grão)"",""Tangerina"",""Tomate"",""Trigo (em grão)"",""Triticale (em grão)"",""Tungue (fruto seco)"",""Urucum (semente)"",""Uva"""
"São Paulo,""1974"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1975"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1976"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1977"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1978"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1979"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1980"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1981"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1982"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1983"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1984"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1985"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1986"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1987"",""Área plantada ou destinada à colheita"",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."",""..."""
"São Paulo,""1988"",""Área plantada ou destinada à colheita (Hectares)"",""6566714"",""9338"",""1587"",""..."",""..."",""-"",""353000"",""828"",""80837"",""276157"",""-"",""-"",""46287"",""1509"",""25361"",""1667"",""..."",""340"",""695000"",""..."",""..."",""..."",""1785355"",""..."",""2336"",""-"",""15692"",""-"",""-"",""5090"",""15"",""-"",""-"",""388"",""-"",""455110"",""1317"",""544"",""..."",""2900"",""-"",""-"",""640350"",""25880"",""-"",""978"",""-"",""225"",""12941"",""26506"",""13096"",""324"",""5"",""5099"",""277"",""1287500"",""19"",""-"",""367"",""1460"",""2"",""-"",""-"",""512500"",""30613"",""25150"",""18262"",""194446"",""..."",""-"",""1482"",""8574"""
"São Paulo,""1989"",""Área plantada ou destinada à colheita (Hectares)"",""6454083"",""9095"",""1199"",""..."",""..."",""-"",""271800"",""777"",""70075"",""256577"",""-"",""-"",""44201"",""1438"",""26790"",""3268"",""..."",""352"",""649029"",""..."",""..."",""..."",""1703903"",""..."",""2315"",""-"",""16285"",""-"",""-"",""5320"",""20"",""-"",""-"",""292"",""-"",""371367"",""1300"",""495"",""..."",""3207"",""-"",""-"",""698580"",""26617"",""-"",""979"",""-"",""189"",""12924"",""24812"",""16536"",""504"",""5"",""5204"",""210"",""1321442"",""19"",""-"",""365"",""1463"",""2"",""-"",""-"",""592500"",""39937"",""24492"",""18483"",""218150"",""..."",""-"",""2470"",""9095"""
"São Paulo,""1990"",""Área plantada ou destinada à colheita (Hectares)"",""6269466"",""9172"",""974"",""..."",""..."",""-"",""300800"",""780"",""68540"",""221505"",""-"",""-"",""43180"",""1715"",""25131"",""3717"",""..."",""259"",""567027"",""..."",""..."",""..."",""1811980"",""..."",""2253"",""-"",""15680"",""-"",""-"",""5320"",""20"",""-"",""-"",""120"",""-"",""367650"",""1179"",""312"",""..."",""3173"",""-"",""-"",""722850"",""27348"",""-"",""996"",""-"",""226"",""12527"",""22880"",""16057"",""1703"",""1"",""5485"",""184"",""1151100"",""19"",""-"",""305"",""1426"",""1"",""-"",""-"",""561200"",""45720"",""22965"",""15360"",""200000"",""..."",""-"",""1837"",""8789"""
"São Paulo,""1991"",""Área plantada ou destinada à colheita (Hectares)"",""6314182"",""7790"",""575"",""..."",""..."",""-"",""243600"",""980"",""73026"",""191544"",""-"",""-"",""44960"",""1760"",""27370"",""6270"",""..."",""355"",""496500"",""..."",""..."",""..."",""1852400"",""..."",""2252"",""-"",""15562"",""-"",""-"",""5450"",""20"",""-"",""-"",""51"",""-"",""312500"",""1187"",""370"",""..."",""3013"",""-"",""-"",""789329"",""27359"",""-"",""1334"",""-"",""244"",""11662"",""24430"",""18428"",""2752"",""1"",""5697"",""244"",""1448000"",""19"",""-"",""358"",""1474"",""1"",""-"",""-"",""503413"",""44340"",""22963"",""15720"",""98156"",""..."",""-"",""1784"",""8939"""
"São Paulo,""1992"",""Área plantada ou destinada à colheita (Hectares)"",""6333308"",""7293"",""958"",""..."",""..."",""-"",""230000"",""700"",""84850"",""189470"",""-"",""-"",""42873"",""1729"",""26650"",""10143"",""..."",""380"",""424892"",""..."",""..."",""..."",""1889523"",""..."",""2217"",""-"",""12470"",""-"",""-"",""3350"",""73"",""-"",""-"",""51"",""-"",""332450"",""1180"",""361"",""..."",""3188"",""-"",""-"",""783674"",""29222"",""-"",""895"",""-"",""401"",""8410"",""24415"",""19883"",""3214"",""1"",""6818"",""254"",""1566300"",""19"",""-"",""347"",""1610"",""1"",""-"",""-"",""465621"",""40675"",""22056"",""15105"",""68635"",""..."",""-"",""1665"",""9286"""
"São Paulo,""1993"",""Área plantada ou destinada à colheita (Hectares)"",""5686779"",""6736"",""890"",""..."",""..."",""-"",""142600"",""353"",""71765"",""164200"",""-"",""-"",""41345"",""3229"",""25610"",""13546"",""..."",""367"",""368485"",""..."",""..."",""..."",""1895750"",""..."",""2265"",""-"",""14510"",""-"",""-"",""5800"",""100"",""-"",""-"",""50"",""-"",""276950"",""825"",""360"",""..."",""3679"",""-"",""-"",""584627"",""28096"",""-"",""722"",""-"",""268"",""3180"",""27332"",""21281"",""3248"",""-"",""7082"",""220"",""1349300"",""16"",""-"",""364"",""1729"",""1"",""-"",""-"",""490000"",""36720"",""20225"",""14420"",""47680"",""..."",""-"",""1444"",""9409"""
"São Paulo,""1994"",""Área plantada ou destinada à colheita (Hectares)"",""6023468"",""6796"",""1560"",""..."",""..."",""-"",""149280"",""383"",""76800"",""142240"",""-"",""-"",""44900"",""4358"",""27410"",""15421"",""..."",""195"",""272680"",""..."",""..."",""..."",""2173200"",""..."",""2309"",""-"",""14580"",""-"",""-"",""5040"",""139"",""-"",""-"",""50"",""-"",""332170"",""487"",""336"",""..."",""3709"",""-"",""-"",""668461"",""28437"",""-"",""752"",""-"",""359"",""1480"",""35630"",""21331"",""3359"",""-"",""7081"",""215"",""1309000"",""27"",""9"",""386"",""1818"",""-"",""-"",""-"",""553900"",""31520"",""21990"",""18080"",""35350"",""..."",""-"",""1102"",""9138"""
"São Paulo,""1995"",""Área plantada ou destinada à colheita (Hectares)"",""5836401"",""5522"",""782"",""..."",""..."",""-"",""179650"",""450"",""79080"",""133540"",""-"",""-"",""40140"",""3622"",""27770"",""16716"",""..."",""145"",""241385"",""..."",""..."",""..."",""2258900"",""..."",""2277"",""-"",""14390"",""-"",""-"",""4500"",""403"",""-"",""-"",""19"",""-"",""229760"",""464"",""345"",""..."",""4084"",""-"",""-"",""620770"",""28170"",""-"",""620"",""-"",""231"",""670"",""34140"",""21297"",""3851"",""-"",""7450"",""155"",""1243300"",""30"",""9"",""375"",""1826"",""-"",""-"",""-"",""530000"",""27510"",""20970"",""16930"",""23800"",""..."",""-"",""834"",""9519"""
"São Paulo,""1996"",""Área plantada ou destinada à colheita (Hectares)"",""5955594"",""5423"",""1715"",""..."",""..."",""-"",""120800"",""350"",""64020"",""104010"",""-"",""-"",""44797"",""3099"",""27740"",""20083"",""..."",""150"",""236250"",""..."",""..."",""..."",""2493180"",""..."",""2345"",""-"",""12505"",""-"",""-"",""3271"",""222"",""-"",""-"",""19"",""-"",""181690"",""340"",""335"",""..."",""4414"",""-"",""-"",""719735"",""29690"",""-"",""560"",""-"",""312"",""1170"",""25521"",""23015"",""4706"",""-"",""8562"",""148"",""1155450"",""30"",""27"",""390"",""1913"",""-"",""-"",""-"",""563600"",""29253"",""21442"",""15080"",""18000"",""..."",""-"",""728"",""9504"""
"São Paulo,""1997"",""Área plantada ou destinada à colheita (Hectares)"",""5968266"",""5672"",""2283"",""..."",""..."",""-"",""78500"",""280"",""71700"",""80000"",""-"",""-"",""43106"",""3004"",""28970"",""23193"",""..."",""75"",""241530"",""..."",""..."",""..."",""2446300"",""..."",""2230"",""-"",""10355"",""-"",""-"",""3261"",""410"",""-"",""-"",""15"",""-"",""212990"",""371"",""195"",""..."",""4915"",""-"",""-"",""736770"",""31367"",""-"",""560"",""-"",""327"",""980"",""24485"",""23110"",""4094"",""-"",""8076"",""186"",""1206900"",""32"",""35"",""327"",""1947"",""-"",""-"",""-"",""574900"",""33450"",""22481"",""14280"",""14430"",""..."",""-"",""654"",""9520"""
